biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 82b593 63a277
biome 6 e0ffae 5c694e 496137
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 82b593 63a277
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 53ca37 29bc05
biome 22 ffffff 53ca37 29bc05
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff727374
block 2 * ff8e8e8e
block 3 * ff82583a
block 4 * ff747474
block 5 * ffa27c43
block 5 1 ff6c4b22
block 5 2 ffc9b47f
block 5 3 ffa97c51
block 6 * 2c3a6427
block 6 0 521c490a
block 6 1 3615331a
block 6 2 522b5836
block 6 4 521c490a
block 6 5 3615331a
block 6 6 522b5836
block 6 8 521c490a
block 6 9 3615331a
block 6 10 522b5836
block 6 12 521c490a
block 6 13 3615331a
block 6 14 522b5836
block 7 * ff3a3c3e
block 8 * 9118489e
block 9 * 9118489e
block 10 * ffdd6e18
block 11 * ffdd6e18
block 12 * ffc7c18f
block 13 * ff73716f
block 14 * ff7c786d
block 15 * ff766e6b
block 16 * ff656566
block 17 * ff5b481e
block 17 0 ff977a4d
block 17 1 ff92764a
block 17 2 ffa1875e
block 17 3 ff967a4c
block 17 4 ff5b4627
block 17 5 ff32230d
block 17 6 ffabadac
block 17 8 ff5b4627
block 17 9 ff32230d
block 17 10 ffabadac
block 17 12 ff5b4627
block 17 13 ff32230d
block 17 14 ffabadac
block 18 * ff787878
block 18 1 ff233723
block 18 2 ff3c4e28
block 18 3 ff727272
block 18 5 ff5d5d5d
block 18 7 ff727272
block 18 9 ff5d5d5d
block 18 11 ff727272
block 18 13 ff5d5d5d
block 18 15 ff727272
block 19 * ffbab546
block 20 * 26d3e9ed
block 21 * ff636775
block 22 * ff174494
block 23 * ff626264
block 23 1 ff595a5b
block 23 9 ff595a5b
